## Classical Chinese Character Frequency List
## 古汉语单字频率列表
## 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。
## 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html
## Columns are tab delimited. 行间分隔符为Tab键。
## http://lingua.mtsu.edu/chinese-computing/statistics/index.html
## http://lingua.mtsu.edu/chinese-computing/statistics/char/download.php?Which=CL
id	character	occurrences	frequency	pinyins	traductions
194	白	68711	47.4302335731	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous
195	开	68292	47.5347376863	kai1	open/operate (vehicle)/start
196	闻	68243	47.639166817	wen2	(surname)/hear/sniff at
197	走	67741	47.7428277602	zou3	to walk/to go/to move
198	立	66930	47.8452476673	li4	set up/to stand
199	并	66863	47.9475650474	bing4	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with
200	意	66766	48.0497339929	yi4	idea/meaning/wish/desire/(abbr.) Italy
201	部	66699	48.1518004113	bu4	ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)
202	亲	66290	48.2532409558	qin1/qing4	dear/intimate/parent/relation/closely related, parents-in-law of one's offspring
203	才	65959	48.3541749861	cai2	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until
204	处	65837	48.4549223255	chu3/chu4	to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect
205	皇	65666	48.5554079915	huang2	(surname)/emperor
206	常	65406	48.6554957913	chang2	always/ever/often/frequently/common/general/constant
207	必	65338	48.7554795339	bi4	certainly/must/will/necessarily
208	法	65284	48.8553806428	fa3	law/method/way/Buddhist teaching/Legalist/France (abbrev.)
209	非	64958	48.9547828888	fei1	non-/not-/un-
210	会	64562	49.0535791542	hui4/kuai4	can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting
211	欲	63993	49.151504705	yu4	desire/wish, desire/longing/appetite/wish
212	们	63780	49.2491043117	men	(plural marker for pronouns and a few animate nouns)
213	手	63407	49.3461331336	shou3	hand/convenient
214	民	63366	49.4430992151	min2	the people/nationality/citizen
215	谓	63045	49.539574085	wei4	speak of
216	么	62384	49.6350374569	ma/me/yao1	(interrog. part.), (interrog. suff.), one on dice/small
217	声	62074	49.7300264501	sheng1	sound/voice/(a measure word, used for sounds)/tone/noise
218	且	61890	49.8247338766	qie3	further/moreover
219	少	61371	49.9186471011	shao3/shao4	few/little/lack, young
220	遂	61268	50.0124027095	sui4/sui2	forthwith
221	路	60866	50.1055431557	lu4	(surname)/road/path/way
222	诏	60838	50.1986407549	zhao4	imperial order
223	玉	60715	50.2915501327	yu4	jade
224	叫	60700	50.3844365568	jiao4	to (be) call(ed)
225	位	60393	50.4768531928	wei4	position/location/(measure word for persons)/place/seat
226	氏	60391	50.5692667683	shi4	clan name/maiden name
227	郎	59604	50.6604760339	lang2	(surname)/a youth
228	左	59435	50.7514266865	zuo3	left
229	甚	59434	50.8423758089	shen4	very/extremely/more (than)
230	余	59231	50.9330142896	yu2	extra/surplus/remaining/after/I/me
231	风	59041	51.0233620221	feng1	wind/news/style/custom/manner
232	弟	58786	51.1133195398	di4	younger brother
233	度	58383	51.2026603651	du4	capacity/degree/standard
234	初	58236	51.2917762431	chu1	at first/(at the) beginning/first/junior/basic
235	义	57893	51.3803672438	yi4	justice/righteousness/meaning
236	各	57686	51.468641482	ge4	each/every
237	杀	57416	51.5565025516	sha1	to kill/to murder/to slaughter
238	父	57408	51.6443513792	fu4	father
239	归	56984	51.731551379	gui1	to go back/to return
240	侍	56790	51.8184545095	shi4	attend on
