# http://lingua.mtsu.edu/chinese-computing/phonology/syllabletone.php
id	pinyin	frequency	phonemes
421	kuai4	163050	khuai
422	kuan1	23918	khuan
423	kuan3	43087	khuan
424	kuang1	2497	khuaN
425	kuang2	24259	khuaN
426	kuang4	127135	khuaN
427	kui1	14399	khu«i
428	kui2	6421	khu«i
429	kui4	15002	khu«i
430	kun1	11698	khu«n
431	kun3	3079	khu«n
432	kun4	39172	khu«n
433	kuo4	81713	khu«
434	la1	3127	la
435	la3	2939	la
436	la4	155313	la
437	la5	22263	la
438	lai2	1101656	lai
439	lai4	17123	lai
440	lan2	109320	lan
441	lan3	18450	lan
442	lan4	14599	lan
443	lang2	16708	laN
444	lang3	19288	laN
445	lang4	37484	laN
446	lao1	3681	lau
447	lao2	66573	lau
448	lao3	226582	lau
449	lao4	2236	lau
450	le4	98193	l«
451	le5	2128528	l«
452	lei2	55226	l«i
453	lei3	6516	l«i
454	lei4	176990	l«i
455	leng2	3604	l«N
456	leng3	53460	l«N
457	leng4	5088	l«N
458	li2	129043	li
459	li3	1059566	li
460	li4	1103579	li
461	li5	15853	li
462	lian2	260342	lian
463	lian3	67834	lian
464	lian4	61388	lian
465	liang2	75082	liaN
466	liang3	306940	liaN
467	liang4	257374	liaN
468	liao2	55543	liau
469	liao4	74975	liau
470	lie4	162890	li«
471	lie5	2707	li«
472	lin2	182865	lin
473	lin3	1870	lin
474	lin4	7405	lin
475	ling1	1176	li«N
476	ling2	121995	li«N
477	ling3	136422	li«N
478	ling4	198272	li«N
479	liu2	245324	li«u
480	liu3	12642	li«u
481	liu4	93765	li«u
482	long2	76608	luN
483	long3	18145	luN
484	lou2	38463	l«u
485	lou3	2512	l«u
486	lou4	9622	l«u
487	lou5	1445	l«u
488	lu1	1587	lu
489	lu2	21662	lu
490	lu3	46158	lu
491	lu4	293382	lu
492	lu:3	64184	ly«
493	lu:4	209159	ly«
494	lu:5	3532	ly«
495	luan2	1230	luan
496	luan3	6971	luan
497	luan4	47474	luan
498	lue:4	61411	ly«
499	lun2	67400	lu«n
500	lun4	197165	lu«n
501	luo2	21710	lu«
502	luo3	5752	lu«
503	luo4	145312	lu«
504	luo5	108376	lu«
505	ma1	48622	ma
506	ma2	25584	ma
507	ma3	193605	ma
508	ma4	17182	ma
509	ma5	103113	ma
510	mai2	11246	mai
511	mai3	47788	mai
512	mai4	78329	mai
513	man2	10694	man
514	man3	96954	man
515	man4	80662	man
516	mang2	63001	maN
517	mang3	2816	maN
518	mao2	96517	mau
519	mao4	73531	mau
520	me5	480720	(N/A)
521	mei2	509329	m«i
522	mei3	389046	m«i
523	mei4	34998	m«i
524	men2	212769	m«n
525	men4	8708	m«n
526	men5	1169853	m«n
527	meng2	28204	m«N
528	meng3	52881	m«N
529	meng4	51760	m«N
530	mi1	1298	mi
531	mi2	37063	mi
532	mi3	73396	mi
533	mi4	118542	mi
534	mian2	20233	mian
535	mian3	58465	mian
536	mian4	425180	mian
537	miao2	31576	miau
538	miao3	8809	miau
539	miao4	28385	miau
540	mie4	37465	mi«
541	min2	335796	min
542	min3	18412	min
543	ming2	528260	mi«N
544	ming4	168358	mi«N
545	miu4	4290	mi«u
546	mo2	129545	m«
547	mo4	143484	m«
548	mou2	36743	m«u
549	mou3	79482	m«u
550	mu3	107437	mu
551	mu4	300813	mu
552	na2	61798	na
553	na4	707256	na
554	na5	62871	na
555	nai3	42739	nai
556	nai4	27138	nai
557	nan2	211765	nan
558	nan4	144597	nan
559	nang2	6709	naN
560	nao2	2523	nau
561	nao3	73111	nau
562	nao4	17764	nau
563	ne5	112185	n«
564	nei4	231331	n«i
565	nen4	3707	m«n
566	neng2	665358	n«N
567	ni1	6000	ni
568	ni2	61854	ni
569	ni3	718090	ni
570	ni4	26117	ni
571	nian2	607118	nian
572	nian3	1066	nian
573	nian4	87128	nian
574	niang2	38274	niaN
575	niang4	2633	niaN
576	niao3	19698	niau
577	niao4	9621	niau
578	nie1	3824	ni«
579	nie4	9167	ni«
580	nin2	51094	nin
581	ning2	12487	ni«N
582	ning4	31530	ni«N
583	niu1	1487	ni«u
584	niu2	30047	ni«u
585	niu3	21426	ni«u
586	nong2	103020	nuN
587	nong4	28205	nuN
588	nu2	15917	nu
589	nu3	27631	nu
590	nu4	24374	nu
591	nu:3	185188	ny
592	nuan3	9762	nuan
593	nue:4	2979	ny«
594	nuo2	5500	nu«
595	nuo4	34522	nu«
596	o1	4582	(N/A)
597	ou1	44914	«u
598	ou3	17246	«u
599	ou4	2292	«u
600	pa1	4394	pha
601	pa2	15255	pha
602	pa4	77086	pha
603	pai1	23483	phai
604	pai2	21447	phai
605	pai3	55938	phai
606	pai4	76750	phai
607	pan1	10475	phan
608	pan2	28582	phan
609	pan4	69473	phan
610	pang2	49579	phaN
611	pang4	8184	phaN
612	pao1	10477	phau
613	pao2	5901	phau
614	pao3	39497	phau
615	pao4	43361	phau
616	pei1	2093	ph«i
617	pei2	46499	ph«i
618	pei4	65518	ph«i
619	pen2	6780	ph«n
620	pen4	10027	ph«n
621	peng1	4481	ph«N
622	peng2	76698	ph«N
623	peng3	4533	ph«N
624	peng4	16919	ph«N
625	pi	200645	phi
626	pi1	78465	phi
627	pi2	67978	phi
628	pi3	11784	phi
629	pi4	17136	phi
630	pian1	54185	phian
631	pian4	104413	phian
632	piao1	13357	phiau
633	piao2	1073	phiau
634	piao4	48947	phiau
635	pie1	2840	phi«
636	pie3	2219	phi«
637	pin1	10771	phin
638	pin2	30390	phin
639	pin3	138528	phin
640	pin4	5148	phin
641	ping1	1086	phi«N
642	ping2	280687	phi«N
643	po1	36746	ph«
644	po2	36302	ph«
645	po4	103794	ph«
646	pou1	3767	ph«u
647	pu1	14818	phu
648	pu2	26851	phu
649	pu3	83290	phu
650	pu4	13151	phu
651	qi1	275049	tshi
652	qi2	533538	tshi
653	qi3	550536	tshi
654	qi4	405998	tshi
655	qia1	1042	tshia
656	qia4	20229	tshia
657	qian1	117637	tshian
658	qian2	477810	tshian
659	qian3	23042	tshian
660	qian4	20332	tshian
661	qiang1	46544	tshiaN
662	qiang2	21101	tshiaN
663	qiang3	162261	tshiaN
664	qiang4	2385	tshiaN
665	qiao1	9978	tshiau
666	qiao2	51469	tshiau
667	qiao3	36105	tshiau
668	qiao4	7912	tshiau
669	qie2	5192	tshi«
670	qie3	144597	tshi«
671	qie4	137732	tshi«
672	qin1	150757	tshin
673	qin2	44743	tshin
674	qin3	2475	tshin
675	qin4	1847	tshin
676	qing1	329953	tshi«N
677	qing2	322073	tshi«N
678	qing3	102979	tshi«N
679	qing4	19487	tshi«N
680	qiong2	23167	tshiuN
681	qiu1	35828	tshi«u
682	qiu2	208771	tshi«u
683	qu1	208015	tshy
684	qu2	6078	tshy
685	qu3	166276	tshy
686	qu4	503704	tshy
687	quan1	17115	tshyan
688	quan2	470281	tshyan
689	quan3	3042	tshyan
690	quan4	12587	tshyan
691	que1	38506	tshy«
692	que4	282853	tshy«
693	qun2	74521	tshuin
694	ran2	523734	ran
695	ran3	26168	ran
696	rang3	10441	raN
697	rang4	125660	raN
698	rao2	5079	rau
699	rao3	14252	rau
700	rao4	14172	rau
701	re3	5018	r«
702	re4	67051	r«
703	ren2	1885262	r«n
704	ren3	24862	r«n
705	ren4	408802	r«n
706	reng1	8045	r«N
707	reng2	67490	r«N
708	ri4	363763	r
709	rong	1342	ruN
710	rong2	163056	ruN
711	rou2	14816	r«u
712	rou4	30820	r«u
713	ru2	456040	ru
714	ru3	20233	ru
715	ru4	193514	ru
716	ruan3	30350	ruan
717	rui3	1373	ru«i
718	rui4	27525	ru«i
719	run4	16922	ru«n
720	ruo4	89865	ru«
721	sa3	19964	sa
722	sa4	28804	sa
723	sai1	1522	sai
724	sai4	54062	sai
725	san1	304272	san
726	san3	5511	san
727	san4	39336	san
728	sang1	13328	saN
729	sang3	3724	saN
730	sang4	15731	saN
731	sao1	6348	sau
732	sao3	5863	sau
733	sao4	15140	sau
734	se4	155077	s«
735	sen1	29533	s«n
736	seng1	6920	s«N
737	sha1	86840	§a
738	sha3	7167	§a
739	sha4	53169	§a
740	shai1	1166	§ai
741	shai4	3124	§ai
742	shan1	186391	§an
743	shan3	31196	§an
744	shan4	67091	§an
745	shang1	165038	§aN
746	shang3	17347	§aN
747	shang4	1107951	§aN
748	shang5	2274	§aN
749	shao1	26458	§au
750	shao2	2435	§au
751	shao4	227353	§au
752	she1	2835	§«
753	she2	18049	§«
754	she4	413008	§«
755	shei2	61528	§«i
756	shen1	410476	§«n
757	shen2	452423	§«n
758	shen3	61455	§«n
759	shen4	82001	§«n
760	sheng1	941326	§«N
761	sheng2	7256	§«N
762	sheng3	58642	§«N
763	sheng4	143299	§«N
764	shi1	382903	§
765	shi2	1837087	§
766	shi3	536989	§
767	shi4	4293312	§
768	shou1	120897	§«u
769	shou3	409742	§«u
770	shou4	272962	§«u
771	shu1	262768	§u
772	shu2	31542	§u
773	shu3	101771	§u
774	shu4	471728	§u
775	shua3	5109	§ua
776	shua4	8773	§ua
777	shuai1	15402	§uai
778	shuai3	3208	§uai
779	shuai4	8249	§uai
780	shuan1	3605	§uan
781	shuang1	72559	§uaN
782	shuang3	4368	§uaN
783	shui3	198933	§u«i
784	shui4	79035	§u«i
785	shun4	42354	§u«n
786	shuo1	874977	§u«
787	shuo4	9311	§u«
788	si1	608808	s
789	si3	136194	s
790	si4	310742	s
791	song1	38705	suN
792	song3	5758	suN
793	song4	107929	suN
794	sou1	26975	s«u
795	sou4	2438	s«u
796	su1	73394	su
797	su2	17463	su
798	su4	227217	su
799	suan1	14855	suan
800	suan4	106384	suan
801	sui1	81097	su«i
802	sui2	87519	su«i
803	sui3	2474	su«i
804	sui4	72630	su«i
805	sun1	31506	su«n
806	sun3	37523	su«n
807	suo1	23097	su«
808	suo3	581408	su«
809	ta1	2334385	tha
810	ta3	29454	tha
811	ta4	12526	tha
812	tai1	7256	thai
813	tai2	127337	thai
814	tai4	277746	thai
815	tan1	23051	than
816	tan2	106562	than
817	tan3	33168	than
818	tan4	61933	than
819	tang1	11620	thaN
820	tang2	84938	thaN
821	tang3	19723	thaN
822	tang4	6028	thaN
823	tao1	18474	thau
824	tao2	61109	thau
825	tao3	41717	thau
826	tao4	26301	thau
827	te4	239091	th«
828	teng2	27136	th«N
829	ti1	16256	thi
830	ti2	400263	thi
831	ti3	273792	thi
832	ti4	34214	thi
833	tian1	428344	thian
834	tian2	60181	thian
835	tian3	1236	thian
836	tiao2	191280	thiau
837	tiao3	18417	thiau
838	tiao4	32554	thiau
839	tie1	14888	thi«
840	tie3	45798	thi«
841	tie4	2191	thi«
842	ting1	171529	thi«N
843	ting2	111540	thi«N
844	ting3	31483	thi«N
845	tong2	34578	thuN
846	tong3	177494	thuN
847	tong4	697116	thuN
848	tou1	19006	th«u
849	tou2	354619	th«u
850	tou4	26836	th«u
851	tu1	90401	thu
852	tu2	155921	thu
853	tu3	79809	thu
854	tu4	15550	thu
855	tuan2	104151	thuan
856	tui1	82512	thu«i
857	tui2	1900	thu«i
858	tui3	17509	thu«i
859	tui4	52528	thu«i
860	tun1	9142	thu«n
861	tun2	5062	thu«n
862	tuo1	92573	thu«
863	tuo2	11747	thu«
864	tuo3	9935	thu«
865	tuo4	7065	thu«
866	wa1	12028	ua
867	wa2	8662	ua
868	wa4	24019	ua
869	wa5	4055	ua
870	wai1	5251	uai
871	wai4	295645	uai
872	wan1	51018	uan
873	wan2	180878	uan
874	wan3	82822	uan
875	wan4	137534	uan
876	wang1	8294	uaN
877	wang2	33917	uaN
878	wang3	70356	uaN
879	wang4	433350	uaN
880	wei1	170112	u«i
881	wei2	191706	u«i
882	wei3	180562	u«i
883	wei4	1549634	u«i
884	wen1	40653	u«n
885	wen2	320552	u«n
886	wen3	37065	u«n
887	wen4	297700	u«n
888	weng1	8702	u«N
889	wo1	13536	u«
890	wo3	1690048	u«
891	wo4	46161	u«
892	wu1	65926	u
893	wu2	401391	u
894	wu3	310780	u
895	wu4	593990	u
896	xi1	583964	si
897	xi2	120268	si
898	xi3	86117	si
899	xi4	292216	si
